,name,address,min_price,max_price,currency,cuisine,description,star,comfort,delightful,services,phone,website,hours,lat,lon,url,country,country_alpha2,continent_code,USD_min_price,USD_max_price,aggregate_cuisine
0,Shin Sushi,"16573 Ventura Blvd., Encino, 91436, United States",50.0,75.0,USD,JAPANESE,"Set in a nondescript shopping center, this highly pedigreed settler has managed to keep a low profile. But discerning locals know a great master when they see one, and Taketoshi Azumi is indeed the real deal. The chef has worked for two decades at top spots on both coasts and comes from a family of sushi connoisseurs. In fact, Shin is named for the Tokyo restaurant run by his late father, whose former sign now hangs behind the counter. Despite its pedigree, the vibe is affable and laid-back. Tables fill with as many diners ordering lunch combos as the omakase, and the friendly chef engages each customer as he slices their fish to order. His approach to shari is singular and highly personal, with a dense texture and mild flavor from sake lees vinegar. It makes a delicate base for some of the more unusual nigiri around, like a tiny bundle of Japanese chives tied with crispy nori and topped with bonito. Then look forward to the very rare and lightly torched snow trout, which is a marvel thanks to its smoky outer layer giving way to melting richness. Finally, all the luxurious standards are perfectly executed here, including Santa Barbara uni, Hokkaido scallops and first-rate fatty tuna.",1.0,2.0,0.0,"['New establishment in the guide', 'Establishment totally or partly reserved for non-smokers']",+1 818-616-4148,Not Available,Dinner Tue - Sat,34.15784,-118.49415,https://guide.michelin.com/en/california/encino/restaurant/shin-sushi,United States,US,NA,50.0,75.0,JAPANESE
1,Hayato,"1320 E. 7th St., Ste. 126, Los Angeles, 90001, United States",75.0,150.0,USD,JAPANESE,"The entrance can be a bit tricky to locate within the newly transformed ROW DTLA, so look for the fluttering noren on the first-floor of building M2. Inside, a white cedar counter dominates the softly toned room and ensures that dining here is an intimate and engaging experience with Chef Brandon Hayato Go. This is the kind of place where celebrants and gourmands come to enjoy a culinary show. Many courses begin with ingredients artfully arranged in the back kitchen and handed to the chef on trays, then finished before your eyes and presented with detailed explanations. The chef's nightly omakase presents an impressive parade of sashimi along with grilled, fried, steamed and simmered items. Seafood is sparkling beyond compare, especially the intense and focused presentation of a hollowed-out snow crab shell filled with seasoned rice, roe and tomalley. Morsels of tender abalone with small but mighty cubes of abalone gelée and a dab of liver sauce deliver flavors that are simultaneously pure and restrained. Everything seems to shine in a rice pot of grilled wild yellowtail and daikon, showered with slivered chives and served with pickles.",1.0,3.0,0.0,"['New establishment in the guide', 'Establishment totally or partly reserved for non-smokers']",+1 213-395-0607,www.hayatorestaurant.com,Dinner Tue - Sat,34.03311,-118.24265,https://guide.michelin.com/en/california/us-los-angeles/restaurant/hayato,United States,US,NA,75.0,150.0,JAPANESE
2,Angler,"132 The Embarcadero, San Francisco, 94101, United States",75.0,150.0,USD,CONTEMPORARY,"Pitched as a more casual counterpart to the stellar Saison, this Embarcadero dining gem demands your attention. Its pair of plush rooms feels like a hunter’s cabin gone Danish chic, complete with taxidermy galore and fiberglass fish commingling surprisingly well with sparkling stemware and modern, throw-draped furniture. But all eyes eventually drift to the gorgeous display kitchen, where cooks tend to a live fire that gently perfumes the room with wood smoke. The touch of those embers can be felt everywhere—from the infused cream in an elevated White Russian to an intensely concentrated and roasted tomato relish piled atop a fresh-peeled beefsteak tomato. Impeccable sourcing is another one of Chef Joshua Skenes' signatures: fluke crudo in a sour plum vinaigrette is likely to have been caught that morning and picked from the tank just moments before serving. Despite such meticulousness, Angler retains some humor by transforming rabbit into the world's most lavish riff on Nashville hot chicken, or slipping a bracing tot of beer into the creamy ganache of a chocolate mille-feuille. Like a perfectly tailored suit in an arrestingly bright shade, it's polished yet very playful.",1.0,3.0,0.0,"['Notable cocktail list', 'Wheelchair accessible', 'Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms', 'Valet parking']",+1 415-872-9442,www.anglerrestaurants.com,Lunch Thu - Sat Dinner nightly,37.793167,-122.39213000000001,https://guide.michelin.com/en/california/san-francisco/restaurant/angler,United States,US,NA,75.0,150.0,CONTEMPORARY
3,Harbor House,"5600 CA-1, Elk, United States",75.0,150.0,USD,CALIFORNIAN,"You’ll drive along winding roads past sloping vineyards, apple orchards and sun-dappled redwood trees before arriving at this serene sanctuary set atop a cliff overlooking the Pacific Ocean. The historic property dates to 1916 but reopened in 2018 following a renovation infusing it with a laid-back luxury. The redwood-clad dining room’s picture windows frame postcard-perfect views of the gardens and crashing waves; a fireplace adds to the already inviting ambience. Aside from its Instagram-ready good looks, it's a dining destination thanks to Chef Matthew Kammerer’s distinctive cuisine. Great care is paid to details here, from employing local woods to smoke and grill as well as fish caught right off the coast, to house-made sea salt and vinegars. Savor the fresh tuna, aged for eight days and brushed with salted plum paste, jalapeño and okra for a riot of flavors. Sea urchin custard is at once delicate and intense, while tender abalone in a briny broth renders diners speechless. This kitchen's deftness with vegetables is particularly noteworthy; the sweet potato with savory miso and hemp seed is a revelation. Perhaps most surprising is the price-impressive value for a meal of this caliber.",1.0,3.0,1.0,"['Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers']",+1 800-720-7474,www.theharborhouseinn.com,Dinner Thu - Mon,39.135876,-123.719444,https://guide.michelin.com/en/california/elk/restaurant/harbor-house,United States,US,NA,75.0,150.0,CALIFORNIAN
4,Addison,"5200 Grand Del Mar Way, San Diego, 92130, United States",75.0,150.0,USD,CONTEMPORARY,"Among other luxuries, an evening at the Addison is like wrapping yourself in culinary excellence. A lengthy drive through the exquisite grounds of the Fairmont Grand Del Mar resort sets the scene. Inside this much-celebrated space, arched ceilings stretch overhead, while a roaring fireplace sends light dancing off the marble. Glossy windows overlook the golf course greens, and guests settle in for one of San Diego's most coveted meals. Critically acclaimed Chef William Bradley spins out one long dinner every evening, which is brought to you at the hands of gracious, polished and effortless servers. His French-influenced compositions are downright gorgeous, brightened up with a touch of southern California sparkle—and every resulting morsel is nothing short of revelatory. Guests can choose from a four-course menu (with multiple options available in each section); or a far more involved tasting that's left entirely to the chef's discretion. The latter is the favorite by far and may highlight an heirloom pumpkin velouté with crispy shallots and toasted rye crumbs; while a plump, perfectly cooked Hokkaido scallop arrives with silky cauliflower purée, osetra caviar and savory brown butter foam.",1.0,5.0,0.0,"['Notable cocktail list', 'Wheelchair accessible', 'Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms', 'Valet parking']",+1 858-314-1900,www.addisondelmar.com,Dinner Tue - Sat,32.939903,-117.20013,https://guide.michelin.com/en/california/us-san-diego/restaurant/addison,United States,US,NA,75.0,150.0,CONTEMPORARY
5,Taco María,"3313 Hyland Blvd. Ste. C21, Costa Mesa, 92626, United States",50.0,75.0,USD,MEXICAN,"Nestled within an upscale galleria called The OC Mix, this simply appointed but highly desirable darling boasts some of the best and most refined tacos in town. Brought to you by the intensely creative chef, Carlos Salgado, lunch service may primarily focus on elevated tacos. But in truth, this kitchen shines through its prix-fixe dinner—complete with other culinary interpretations from the chef's Mexican heritage, as well as top-notch produce sourcing and techniques honed during his fine-dining training. Following suit, the clued-up staff excels in every way. Centered around a sleek open kitchen and counter, a petite patio as well as a few tables offer supplemental seating in the dining room. Here, diners may look forward to such deeply intricate dishes as a carrot and masa tamal drizzled with mole Amarillo; or sea scallops gratinados with Chihuahua cheese and squid ink breadcrumbs. Even a simple potato cake is dressed to the nines with an hoja santa-anchovy salsa and a touch of caviar. Beef birria is the evening's showstopper. Simmered in a blend of coffee, roasted chiles and cumin, it arrives with blue corn tortillas, chili oil as well as guacamole-and is quite simply, muy bueno!",1.0,1.0,0.0,"['Brunch', 'Wheelchair accessible', 'Outdoor dining', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers']",+1 714-538-8444,www.tacomaria.com,Lunch Tue - Sun Dinner Tue - Sat,33.69475,-117.92496499999999,https://guide.michelin.com/en/california/us-costa-mesa/restaurant/taco-maria,United States,US,NA,50.0,75.0,MEXICAN
6,Hana re,"2390 Bristol St., Costa Mesa, 92626, United States",75.0,150.0,USD,JAPANESE,"This Orange County sushi spot's scene is intimate, interesting and absolutely worth seeking out. The small, simple space seats ten at the dining counter, which in turn offers a fun, front-seat view of the buzzy kitchen and is far more preferable than the two tables in an auxiliary room. There is a happy sort of vibe here, ensuring that everyone is chatting by the end of their meal. Behind that ubiquitous bar, Chef Atsushi Yokoyama is a one-man show, lending artistry to the feast without getting caught up in the pomp or fuss. The superlative sashimi and nigiri stand tall and are never overwrought. The freshness of this seafood is center stage when the chef presents live Santa Barbara prawns—you may even find yourself reaching for the camera to capture the swift knife skills and morsels of that sweet and slightly quivering tail meat. Cooked dishes are just as interesting, such as a trio of small bites including deep-fried Japanese river crab arranged to look as though it is climbing onto a stack of baby corn and anago tempura. In-the-know patrons set aside three hours, as the omakase of cooked and raw items is the best dining option, with a few supplements added as nightly specials.",1.0,1.0,0.0,"['Wheelchair accessible', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Notable sake list', 'Valet parking']",+1 714-545-2800,www.hanaresushi.com,Dinner Tue - Sat,33.67759,-117.88656599999999,https://guide.michelin.com/en/california/us-costa-mesa/restaurant/hana-re,United States,US,NA,75.0,150.0,JAPANESE
7,Vespertine,"3599 Hayden Ave., Culver City, 90232, United States",75.0,150.0,USD,CONTEMPORARY,"Dining at Vespertine is trippy, unsettling and out of the ordinary. Here, Chef Jordan Kahn executes his singular vision by preparing a cuisine that takes diners on a sensory, albeit futuristic, journey. If that doesn't conjure up a host of dramatic images, its monastic soundtrack will certainly do the trick. The result is a unique experience, which commences on the open-air rooftop where guests are presented with a welcome cocktail and canapés, before being escorted downstairs to the somewhat severe dining room. Following suit, highly professional servers deliver this specific narrative. The chef has not forgotten his background at The French Laundry or Alinea, and uses it to build something wholly unexpected. Fans wait with bated breath for a highly conceptual meal that can last for hours and may not be for everyone. But these stunning plates are unforgettable, like Hokkaido sea scallop with yuzu broth and smoked bone marrow; mussels with celery, sweet plantains and topped with duck fat emulsion; or Dungeness crab with crisped duck skin and egg yolk. After innovative desserts such as cucumber cream with redwood leaf granita, sojourn to the garden for some superb mignardises.",2.0,4.0,1.0,"['Wheelchair accessible', 'Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Valet parking']",+1 323-320-4023,www.vespertine.la,Dinner Tue - Sat,34.024204,-118.38166000000001,https://guide.michelin.com/en/california/culver-city/restaurant/vespertine,United States,US,NA,75.0,150.0,CONTEMPORARY
8,Shunji,"12244 W. Pico Blvd., Los Angeles, 90064, United States",75.0,150.0,USD,JAPANESE,"Behind this notable counter is a chef whose experience runs deep. Japanese-born sushi maestro—Shunji Nakao—previously flashed his knife at Nobu Matsuhisa’s eponymous 1980's spot. He is also known for his work at Asanebo, which he opened with his brother in the 90's. While the menu here does offer à la carte, it is the omakase that is far and away the best option. The itamae will ask how much you’d like to eat, and so begins this memorable meal. After soups such as miso with special seaweed, the precise slicing and crafting of each morsel commences. This may include red snapper with salt and lemon or halibut with yuzu zest, tailed by live prawns where the tail becomes sushi dolloped with shrimp roe and the head disappears into the kitchen for frying. Then comes the parade of pieces brushed with nikiri, like lean tuna and bluefin toro. Finally, that shrimp head re-emerges to finish your meal with a beautiful bit of crunch. Although this revered refuge is housed in a curious-looking circular building, just off Highway 10, guests arrive expecting serious sushi. Of course, that's exactly what they get, though the atmosphere remains low-key with just a small bar and handful of tables.",1.0,1.0,0.0,"['New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Notable sake list']",+1 310-826-4737,www.shunji-ns.com,Lunch Tue - Fri Dinner Tue - Sat,34.028496000000004,-118.45195,https://guide.michelin.com/en/california/us-los-angeles/restaurant/shunji,United States,US,NA,75.0,150.0,JAPANESE
9,n/naka,"3455 S. Overland Ave., Los Angeles, 90034, United States",75.0,150.0,USD,CONTEMPORARY,"Los Angeles-born chef, Niki Nakayama, is a proud pioneer in the modern kaiseki tradition, yet she’s humble enough to remain a constant in her dining room, checking in on each guest to ensure their every comfort. In this way, the much-lauded restaurant feels utterly personal, as though for this moment in time, you are the only diner that matters. Set in an attractive and neutral-toned dining room, the space holds a devoted, almost cult-like reverence. It makes sense: guests don’t want to miss a morsel of Chef Nakayama’s genius. Her clever creations are delightfully unbound by Japanese tradition; instead, she rather inventively works within the spirit of it. A nightly tasting menu might begin with a small glass of apple sake, followed by pristine scallop tartare coupled with sanbaizu gelée, carrot purée, toasted sunflower seeds and crispy carrot chips. From there, tiny yet exquisite dishes pour forth, including simply grilled branzino paired with rich Santa Barbara sea urchin, shiitake mushrooms and ponzu; or a tender lobster dumpling with king crab bobbing in dashi. Al dente spaghettini with abalone slices, pickled cod roe and black truffle is a personification of the chef's unique style.",2.0,2.0,0.0,"['Wheelchair accessible', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Notable sake list', 'Valet parking']",+1 310-836-6252,www.n-naka.com,Dinner Wed - Sat,34.025259999999996,-118.41206000000001,https://guide.michelin.com/en/california/us-los-angeles/restaurant/n-naka,United States,US,NA,75.0,150.0,CONTEMPORARY
