,name,address,min_price,max_price,currency,cuisine,description,star,comfort,delightful,services,phone,website,hours,lat,lon,url,country,country_alpha2,continent_code,USD_min_price,USD_max_price,aggregate_cuisine,coast,region
2,Angler,"132 The Embarcadero, San Francisco, 94101, United States",75.0,150.0,USD,CONTEMPORARY,"Pitched as a more casual counterpart to the stellar Saison, this Embarcadero dining gem demands your attention. Its pair of plush rooms feels like a hunter’s cabin gone Danish chic, complete with taxidermy galore and fiberglass fish commingling surprisingly well with sparkling stemware and modern, throw-draped furniture. But all eyes eventually drift to the gorgeous display kitchen, where cooks tend to a live fire that gently perfumes the room with wood smoke. The touch of those embers can be felt everywhere—from the infused cream in an elevated White Russian to an intensely concentrated and roasted tomato relish piled atop a fresh-peeled beefsteak tomato. Impeccable sourcing is another one of Chef Joshua Skenes' signatures: fluke crudo in a sour plum vinaigrette is likely to have been caught that morning and picked from the tank just moments before serving. Despite such meticulousness, Angler retains some humor by transforming rabbit into the world's most lavish riff on Nashville hot chicken, or slipping a bracing tot of beer into the creamy ganache of a chocolate mille-feuille. Like a perfectly tailored suit in an arrestingly bright shade, it's polished yet very playful.",1.0,3.0,0.0,"['Notable cocktail list', 'Wheelchair accessible', 'Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms', 'Valet parking']",+1 415-872-9442,www.anglerrestaurants.com,Lunch Thu - Sat Dinner nightly,37.793167,-122.39213,https://guide.michelin.com/en/california/san-francisco/restaurant/angler,United States,US,,75.0,150.0,CONTEMPORARY,0,NC
32,Bar Crenn,"3131 Fillmore St., San Francisco, 94101, United States",50.0,75.0,USD,FRENCH,"It may be located next to Chef Dominique Crenn’s notable Atelier Crenn, but Bar Crenn is a destination in its own right. Designed with an eye on Paris during Les Années Folles with a splash of speakeasy, this room is a flea market-chic amalgam of cozy lounge furniture, glinting chandeliers and vintage accents. Fine silver, crystal, champagne and caviar complete the decadence. The wine list is presented as a gold-embossed book of wooden pages. The classic French cooking strives to recreate many of the century's great dishes through recipes on loan from culinary masters, such as Alain Ducasse and Paul Bocuse. The concise menu evolves with the seasons as it offers traditional cooking alongside some of Bar Crenn's own creations. Start with the rendition of Chef Guy Savoy's huîtres en nage glacée, with two Washington State oysters on the half shell topped with oyster cream and a gelée made from its liquor. Chef Pierre Troisgros is honored with perfectly poached king salmon in a pool of beurre blanc with a few wilted leaves of lemony sorrel for tang. Finish with this kitchen's own take on an exquisite apple tart, stacking thin slices of apples that almost melt into one another beneath a rich caramel sauce.",1.0,2.0,0.0,"['Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers']",+1 415-440-0460,www.barcrenn.com,Dinner Tue - Sat,37.798435,-122.43581,https://guide.michelin.com/en/california/san-francisco/restaurant/bar-crenn,United States,US,,50.0,75.0,FRENCH,0,NC
34,Birdsong,"1085 Mission St., San Francisco, 94101, United States",75.0,150.0,USD,AMERICAN,"The front windows are stacked with logs, dried fish hangs from the rafters and the dining room is gently scented with wood smoke, but lofty ceilings and a contemporary aura make Birdsong feel lumberjack-chic. While Chef Christopher Bleidorn prides himself on live-fire cooking and using every part of the animal, he’s still attuned to creature comforts, including a restful color scheme, gorgeous earthenware, elegant stemware and a staff that's as sharp as a well-made axe. The funky 80s rock music in the background certainly helps preserve a laid-back vibe. His tasting menu underlines the cuisine of the Pacific Northwest, with a deeper emphasis on the intense flavors of wood fire. Perfectly grilled lamb-stuffed mushrooms are standouts, accompanied by the likes of custardy blue-corn bread matched with charcoal butter. The chef also flaunts immense skill with dehydrated and cured ingredients, transforming humble carrots into a tender, “meaty” marvel, or wrapping a cylinder of crisp pork belly around luscious caviar and chives for an enticing blast of flavor. Even desserts get their turn in the embers: brioche soaked in jasmine custard is rich and moist, with deliciously caramelized edges.",1.0,2.0,0.0,"['Wheelchair accessible', 'Notable wine list', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms']",+1 415-369-9161,www.birdsongsf.com,Dinner Tue - Sat,37.779495,-122.41048,https://guide.michelin.com/en/california/san-francisco/restaurant/birdsong,United States,US,,75.0,150.0,AMERICAN,0,NC
35,Nico,"710 Montgomery St., San Francisco, 94101, United States",50.0,75.0,USD,CONTEMPORARY,"After moving to the Financial District, Chef Nicolas Delaroque has succeeded in ensuring that this contemporary French bistro does not miss a beat. The petite dining room is polished and sophisticated but never stuffy, combining brown leather banquettes and exposed brick with a backlit white marble bar. Find the best seats towards the immaculate, white-tiled open kitchen located in the back. The menus change frequently, promising that each dish showcases peak-season ingredients. The lunch carte is well priced and bound to attract a flock of business diners. At dinner, the six-course chef's tasting is a worthwhile recommendation, in addition to the à la carte offerings. Regardless of the time of day however, this all translates into tremendous value for such expertly prepared cuisine. Everything turned out of the kitchen is perfectly cooked and seasoned, beginning with lightly poached white asparagus accompanied by trout roe and lemon. Freshly shelled peas with spring onion, meaty clams and smoked cod custard combine acidity, creaminess and incredible flavors. Delectable desserts have included apricot confit on almond crumble with refreshing bay leaf-ice cream.",1.0,2.0,0.0,"['Wheelchair accessible', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers']",+1 415-359-1000,www.nicosf.com,Lunch Tue - Fri Dinner Tue - Sat,37.795803,-122.40333,https://guide.michelin.com/en/california/san-francisco/restaurant/nico,United States,US,,50.0,75.0,CONTEMPORARY,0,NC
36,Sorrel,"3228 Sacramento St., San Francisco, 94101, United States",50.0,75.0,USD,CALIFORNIAN,"Perched on the edge of Pacific Heights, this sleek Cal-Ital eatery draws a casual-chic neighborhood crowd. Dimly lit and inviting, its dining room boasts two particularly eye-catching appurtenances: a white marble bar with glamorous green swirls as well as a bright and vibrant open kitchen, abuzz with a youthful, lively and passionate staff. Trained at Quince, Chef Alexander Hong has a true gift for pasta, like smoky potato zlikrofi drizzled with sharp plum mostarda and shaved horseradish, or thick strascinati bathed in a ‘nduja-infused sauce with tender butter beans and lovage. His ricotta gnudi are exemplars of the form: cloud-soft, accented by crisp fried sage and bright pops of sour cherry. In keeping with Sorrel's approachable mien, everything is offered à la carte, but the five-course tasting menu boasts of exceptional value. In addition to a pair of pastas, discover some deliciously contemporary small bites, including madai crudo with yuzu and cured egg yolk, or dry-aged beef tartare with a hint of pink peppercorn. The duck breast course is truly a sight to behold-complete with its brilliant trinity of golden-crisped skin, juicy meat and earthy red kuri squash purée.",1.0,2.0,0.0,"['Wheelchair accessible', 'New establishment in the guide', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms']",+1 415-525-3765,www.sorrelrestaurant.com,Dinner Tue - Sat,37.788334000000006,-122.44614,https://guide.michelin.com/en/california/san-francisco/restaurant/sorrel,United States,US,,50.0,75.0,CALIFORNIAN,0,NC
38,Kinjo,"2206 Polk St., San Francisco, 94109, United States",75.0,150.0,USD,JAPANESE,"With Chef/co-owner Billy Kong and consultant chef, Fujii Tahahiro, holding the reins of this kitchen, it's no wonder that this Edomae sushi spot is white-hot.    Decked out in neutral tones, pale wood and fine ceramics, the expansive dining room exudes a sense of zen. The equally large kitchen though is animated and action-packed—in fact, that eight-seat counter remains the place to be. Plunk down your plastic where $155 will grant you a kaiseki-inspired omakase extravaganza that includes a striking hassun course. Each small dish will transport you to Kyoto by way of Kinjo—imagine water shield spiked with vinegar; red miso soup with delicate tofu skin (yuba) and Sansho pepper; or a tender tiger prawn poached in delicious dashi. Continue to wend your way through cooked items like truffled chawanmushi with earthy shiitake mushrooms, sweet bits of shrimp and Thai snapper; before sinking into a procession that may reveal the likes of kanpachi from Kyushu or anago from Nagasaki. Each menu also includes a dessert, so even though you may be tempted to order more nigiri, save room for such sweet treats as the warabimochi, which is cut into two rustic rectangles and topped with an addictive brown sugar syrup.",1.0,2.0,0.0,"['Wheelchair accessible', 'Establishment totally or partly reserved for non-smokers']",+1 415-921-2222,www.kinjosf.com,Dinner Wed - Sun,37.79699,-122.422005,https://guide.michelin.com/en/california/san-francisco/restaurant/kinjo,United States,US,,75.0,150.0,JAPANESE,0,NC
41,In Situ,"151 Third St., San Francisco, 94103, United States",75.0,150.0,USD,INTERNATIONAL,"Like the SF Museum of Modern Art in which it’s housed, Corey Lee’s “culinary museum” bends notions of time and place to offer a unique array of iconic dishes from top chefs around the world, honoring more than two decades of innovative cooking. Guided by each respective creator, Lee has trained his cooks to faithfully replicate more than 100 menu items from a starry lineup that includes Chefs Thomas Keller, Albert Adrià and David Chang. The concise menu rotates seasonally, ensuring that diners will always have new “exhibits” to sample. These might include David Thompson’s intensely spicy Chiang Mai-style guinea fowl larb salad, Mehmet Gürs' luscious lamb shank manti with yogurt mousse and tomato or Hiroshi Sasaki’s succulent glazed chicken thigh with a creamy onsen egg. If Adrià’s decadent and masterfully prepared Jasper Hill Farm cheesecake with a hazelnut crust and white chocolate cookies is in the lineup, don’t hesitate. In addition to the culinary concept, In Situ's design is in keeping with its museum home, featuring a spare dining room and a few gems from SFMOMA's collection adding pops of color. Be forewarned that a sophisticated but casual crowd fills up this room quickly.",1.0,2.0,1.0,"['Wheelchair accessible', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms']",+1 415-941-6050,insitu.sfmoma.org,Lunch Thu - Mon Dinner Thu - Sun,37.785633,-122.40113,https://guide.michelin.com/en/california/san-francisco/restaurant/in-situ,United States,US,,75.0,150.0,FUSION,0,NC
42,Hashiri,"4 Mint Plaza, San Francisco, 94103, United States",75.0,150.0,USD,JAPANESE,"This omakase-only sparkler in Mint Plaza may be one of the city's most expensive restaurants, but those who can afford the bill will be rewarded with a truly luxurious culinary experience. Every detail of Hashiri has been finely crafted, from the hand-painted dishes and crystal sake glasses, to the parting seasonal treat presented to diners at the end of their meal. This dining room is home to a host of Asian diners and suits, but don’t be surprised if you see a hoodie-clad millionaire or two seated next to you. Chef Shinichi Aoki and team offer their own creative hybrid of two classic cuisines—the artistry of sushi fused with the ceremony of a kaiseki meal. Exceptional dishes showcase the best of the season and have included tender pen shell clam with citrus-splashed fava beans and bamboo shoots, as well as lightly grilled A5 Wagyu beef over a celeriac purée and charred ramps. Then move on to some outstanding nigiri like buttery Spanish mackerel enhanced by citrus; aji with minced chives; chutoro; otoro; and Hokkaido uni. Sake connoisseurs will enjoy the bar's exclusive selection, while novices can rest assured as the helpful staff is happy to steer the way to the right choice.",1.0,3.0,0.0,"['Wheelchair accessible', 'Establishment totally or partly reserved for non-smokers', 'Private dining rooms', 'Notable sake list']",+1 415-908-1919,www.hashirisf.com,Dinner Tue - Sat,37.783062,-122.40754,https://guide.michelin.com/en/california/san-francisco/restaurant/hashiri,United States,US,,75.0,150.0,JAPANESE,0,NC
43,Mister Jiu's,"28 Waverly Pl., San Francisco, 94108, United States",50.0,75.0,USD,CHINESE,"Chef/owner Brandon Jew has brought some of the sparkle back to Chinatown with this contemporary treasure, which puts a modern Californian spin on the Cantonese classics that once made this neighborhood a national dining destination. Impressively, the chef also makes all his Chinese pantry staples in-house, like the oyster sauce that coats a stir-fry of smoked tofu with long beans, tripe and tendon; or lap cheong (Chinese sausage), which comes stuffed into roasted quail with sticky rice and jujube. The menu is full of these clever touches, from the tomalley that adds depth to a rich Dungeness crab egg custard to the “tentacles” of fried fennel that echo the texture of salt-and-pepper squid. Desserts are excellent, equally skillful and may incorporate black sesame, red bean and osmanthus cream into preparations that will satisfy any sweet tooth. Set in a longtime banquet hall, Mister Jiu's is bright and airy, with dramatic brass lotus chandeliers overhead. Food is served family style, making it ideal for groups. But solo diners will also enjoy the sophisticated front bar that serves up thoughtful and complex cocktails with Asian inflections-like lemongrass milk and green tea.",1.0,2.0,0.0,"['Notable cocktail list', 'Wheelchair accessible', 'Notable wine list', 'Establishment totally or partly reserved for non-smokers']",+1 415-857-9688,www.misterjius.com,Dinner Tue - Sat,37.79371,-122.406654,https://guide.michelin.com/en/california/san-francisco/restaurant/mister-jius,United States,US,,50.0,75.0,CHINESE,0,NC
44,jū-ni,"1335 Fulton St., San Francisco, 94117, United States",75.0,150.0,USD,JAPANESE,"“J?-ni” is Japanese for “twelve,” which also happens to be the number of seats available in this petite, omakase-only spot, housed just off the busy Divisadero corridor. Its segmented, L-shaped sushi bar ensures personalized attention from the trio of chefs, often led by Chef/owner Geoffrey Lee. They’re a young, lively crew and they’ve designed this space with a crowd of similarly young, moneyed professionals in mind. Note the spotlights above the counter, placed for perfect Instagram snapshots of dishes, and the thoroughly curated sake selection. A meal may begin with a tasting of seasonal vegetables—think tomatoes over edamame hummus—before proceeding to an array of nigiri, painstakingly sourced straight from Japan and delicately draped over well-seasoned rice. Standouts include sakura masu with a salt-cured cherry blossom leaf, buttery Hokkaido scallop and the signature ikura—cured in soy sauce, sake and honey, then finished with a grating of velvety frozen monkfish liver. Decadent supplements, like torched A5 Wagyu beef and luscious uni, can be added along the way. But the meal finishes with a surprisingly gentle send-off: sweet, tender mochi dabbed with adzuki bean paste.",1.0,2.0,0.0,"['Wheelchair accessible', 'Establishment totally or partly reserved for non-smokers', 'Notable sake list']",+1 415-655-9924,www.junisf.com,Dinner Mon - Sat,37.77672000000001,-122.43886,https://guide.michelin.com/en/california/san-francisco/restaurant/ju-ni,United States,US,,75.0,150.0,JAPANESE,0,NC
